================================================================================
RAPPORT DE TRADING - 2025-03-21 10:12:04
================================================================================

Période analysée: derniers 2 jours
Monnaie de référence: USDC
Environnement: Testnet

================================================================================
SOLDES ACTUELS
================================================================================

Solde USDC: 9921.78

Détail des soldes:
+----------+---------------+---------------+---------------+
|  Actif   |   Disponible  |    En ordre   |     Total     |
|CREAM     |81.00000000    |0.00000000     |81.00000000    |
|ICP       |80.00000000    |0.00000000     |80.00000000    |
|LPT       |80.00000000    |0.00000000     |80.00000000    |
|XVS       |79.00000000    |0.00000000     |79.00000000    |
|VANA      |79.00000000    |0.00000000     |79.00000000    |
|MOVR      |74.00000000    |0.00000000     |74.00000000    |
|PROM      |74.00000000    |0.00000000     |74.00000000    |
|BERA      |73.00000000    |0.00000000     |73.00000000    |
|UNI       |70.01000000    |0.00000000     |70.01000000    |
|OM        |69.00000000    |0.00000000     |69.00000000    |
|AR        |66.00000000    |0.00000000     |66.00000000    |
|NEO       |55.00000000    |0.00000000     |55.00000000    |
|NMR       |53.00000000    |0.00000000     |53.00000000    |
|SSV       |51.00000000    |0.00000000     |51.00000000    |
|MLN       |47.00000000    |0.00000000     |47.00000000    |
|ALCX      |46.00000000    |0.00000000     |46.00000000    |
|ORDI      |46.00000000    |0.00000000     |46.00000000    |
|ZEN       |43.00000000    |0.00000000     |43.00000000    |
|INJ       |42.00000000    |0.00000000     |42.00000000    |
|AUCTION   |42.00000000    |0.00000000     |42.00000000    |
|DCR       |41.00000000    |0.00000000     |41.00000000    |
|TRUMP     |37.00000000    |0.00000000     |37.00000000    |
|BANANA    |34.00000000    |0.00000000     |34.00000000    |
|LINK      |31.00000000    |0.00000000     |31.00000000    |
|GMX       |31.00000000    |0.00000000     |31.00000000    |
|ILV       |30.00000000    |0.00000000     |30.00000000    |
|KSM       |27.00000000    |0.00000000     |27.00000000    |
|ETC       |25.00000000    |0.00000000     |25.00000000    |
|DEXE      |25.00000000    |0.00000000     |25.00000000    |
|METIS     |24.00000000    |0.00000000     |24.00000000    |
|AVAX      |23.00000000    |0.00000000     |23.00000000    |
|ENS       |23.00000000    |0.00000000     |23.00000000    |
|EGLD      |22.00000000    |0.00000000     |22.00000000    |
|DASH      |20.00000000    |0.00000000     |20.00000000    |
|FARM      |17.00000000    |0.00000000     |17.00000000    |
|TRB       |16.00000000    |0.00000000     |16.00000000    |
|ZEC       |13.00000000    |0.00000000     |13.00000000    |
|COMP      |9.00000000     |0.00000000     |9.00000000     |
|QNT       |5.00000000     |0.00000000     |5.00000000     |
|LTC       |4.00000000     |0.00000000     |4.00000000     |
|SOL       |3.00000000     |0.00000000     |3.00000000     |
|GNO       |3.00000000     |0.00000000     |3.00000000     |
|BNSOL     |3.00000000     |0.00000000     |3.00000000     |
|AAVE      |2.00000000     |0.00000000     |2.00000000     |
|BIFI      |2.00000000     |0.00000000     |2.00000000     |
|ETH       |1.00000000     |0.00000000     |1.00000000     |
|BTC       |1.00000000     |0.00000000     |1.00000000     |
|BNB       |1.00000000     |0.00000000     |1.00000000     |
|BCH       |1.00000000     |0.00000000     |1.00000000     |
|MKR       |1.00000000     |0.00000000     |1.00000000     |
|YFI       |1.00000000     |0.00000000     |1.00000000     |
|PAXG      |1.00000000     |0.00000000     |1.00000000     |
